experiment,step,epoch,token_avg_loss,loss,eval_loss,grad_norm,learning_rate
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1190,0.12336080443684237,0.4975,1.7781,,0.6678456664085388,0.0001992972585630724
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1200,0.12439744985227803,0.5033,1.8282,,0.6739287972450256,0.00019928430861462885
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1210,0.12543409526771368,0.4547,1.6924,,0.8177048563957214,0.0001992712408622796
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1220,0.12647074068314934,0.5365,1.849,,0.6689705848693848,0.00019925805532153005
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1230,0.12750738609858497,0.5636,1.8669,,0.7194206714630127,0.00019924475200802517
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1240,0.12854403151402063,0.4676,1.7667,,0.6434730291366577,0.0001992313309375498
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1250,0.12958067692945627,0.4985,1.8154,,0.6916182041168213,0.0001992177921260284
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1250,0.12958067692945627,0.6121,,0.478902667760849,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1260,0.13061732234489193,0.461,1.7326,,0.8545060753822327,0.00019920413558952523
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1270,0.1316539677603276,0.4648,1.7578,,0.6922927498817444,0.00019919036134424415
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1280,0.13269061317576322,0.602,1.837,,0.5982839465141296,0.0001991764694065288
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1290,0.13372725859119888,0.4379,1.7102,,0.728273332118988,0.00019916245979286236
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1300,0.13476390400663454,0.5002,1.814,,0.5988628268241882,0.00019914833251986764
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1310,0.13580054942207018,0.5233,1.8747,,0.703936755657196,0.00019913408760430712
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1320,0.13683719483750584,0.4375,1.7156,,0.7485374808311462,0.00019911972506308283
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1330,0.13787384025294147,0.5862,1.8128,,0.6652365326881409,0.00019910524491323638
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1340,0.13891048566837713,0.3974,1.7508,,0.7511788606643677,0.00019909064717194886
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1350,0.1399471310838128,0.4939,1.7886,,0.6251723766326904,0.00019907593185654104
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1360,0.14098377649924843,0.548,1.8584,,0.6464528441429138,0.00019906109898447299
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1370,0.1420204219146841,0.4334,1.7375,,0.8200892806053162,0.00019904614857334444
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1380,0.14305706733011972,0.5131,1.7514,,0.6091346144676208,0.0001990310806408945
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1390,0.14409371274555538,0.4856,1.8151,,0.694347083568573,0.0001990158952050017
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1400,0.14513035816099104,0.4573,1.7097,,0.6623088121414185,0.00019900059228368413
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1410,0.14616700357642667,0.5873,1.7932,,0.5953468084335327,0.00019898517189509909
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1420,0.14720364899186233,0.4654,1.7638,,0.7936296463012695,0.00019896963405754335
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1430,0.148240294407298,0.4998,1.6823,,0.6534949541091919,0.0001989539787894531
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1440,0.14927693982273363,0.4743,1.8764,,0.7372329831123352,0.00019893820610940375
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1450,0.1503135852381693,0.4526,1.6609,,0.6888936161994934,0.00019892231603611007
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1460,0.15135023065360492,0.5098,1.7727,,0.5807368159294128,0.00019890630858842613
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1470,0.15238687606904058,0.4481,1.806,,0.8087381720542908,0.00019889018378534527
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1480,0.15342352148447624,0.4837,1.6816,,0.7055342197418213,0.0001988739416460001
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1490,0.15446016689991188,0.5122,1.7885,,0.5841509103775024,0.00019885758218966238
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1500,0.15549681231534754,0.425,1.7079,,0.7570723295211792,0.0001988411054357431
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1500,0.15549681231534754,0.5703,,0.46813926100730896,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1510,0.1565334577307832,0.5408,1.7155,,0.6262417435646057,0.00019882451140379245
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1520,0.15757010314621883,0.4505,1.8833,,0.776981770992279,0.00019880780011349977
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1530,0.1586067485616545,0.4386,1.656,,0.6885315179824829,0.00019879097158469354
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1540,0.15964339397709013,0.557,1.7687,,0.5667031407356262,0.00019877402583734133
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1550,0.1606800393925258,0.439,1.7258,,0.840660572052002,0.00019875696289154977
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1560,0.16171668480796145,0.5329,1.6764,,0.620904803276062,0.00019873978276756455
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1570,0.16275333022339708,0.48,1.7797,,0.6259306073188782,0.00019872248548577048
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1580,0.16378997563883274,0.4801,1.6889,,0.8286176919937134,0.0001987050710666913
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1590,0.16482662105426837,0.4992,1.7875,,0.6463592648506165,0.00019868753953098973
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1600,0.16586326646970403,0.507,1.766,,0.6497504711151123,0.00019866989089946748
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1610,0.1668999118851397,0.4859,1.672,,0.6135083436965942,0.00019865212519306523
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1620,0.16793655730057533,0.429,1.7703,,0.6345811486244202,0.00019863424243286252
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1630,0.168973202716011,0.5399,1.7189,,0.7583489418029785,0.00019861624264007785
